id;ano;mes;semana_operativa;data_inicio;data_fim;ena_bruta_mw_se;ena_bruta_mw_s;ena_bruta_mw_ne;ena_bruta_mw_n;ena_bruta_mlt_se;ena_bruta_mlt_s;ena_bruta_mlt_ne;ena_bruta_mlt_n;ena_arm_mw_se;ena_arm_mw_s;ena_arm_mw_ne;ena_arm_mw_n;ena_arm_mlt_se;ena_arm_mlt_s;ena_arm_mlt_ne;ena_arm_mlt_n;vol_ena_arm_mlt_se;vol_ena_arm_mlt_s;vol_ena_arm_mlt_ne;vol_ena_arm_mlt_n;dias_contabilizados
547;2015;3;720;2015-03-21;2015-03-27;50224;5407.28571428571;6105.85714285714;12569.1428571429;92.7242867628571;75.3514284414286;42.5357142857143;80.8657161171429;49244.8571428571;4863.71428571429;6086.14285714286;12281.4285714286;90.9157148071429;67.7757148742857;42.3985710128571;79.0142854971429;1.49578035557007;6.05933610032371;2.72548128941724;5.21800240297694;7
546;2015;3;721;2015-03-28;2015-04-03;45169.8571428571;8701.71428571429;7151.57142857143;14256.7142857143;94.3914271771429;125.614286151429;54.7242851242857;91.9371425085714;44331;8192;7138.42857142857;13560.7142857143;92.6299994328571;118.327141897143;54.6185711457143;87.4457135871429;10.8733800200231;30.2782308739074;7.17063357507134;1.12568284610372;7
545;2015;4;722;2015-04-04;2015-04-10;40805.4285714286;8364.42857142857;8294.85714285714;13128.7142857143;99.3557128914286;125.517141068571;70.7642854957143;84.92428589;40064.2857142857;8080.14285714286;8275.57142857143;12639.5714285714;97.5499997828571;121.248572211429;70.6000006557143;81.75856999;3.18619716460603;16.1336740365559;2.14567758874326;2.76199635079315;7
544;2015;4;723;2015-04-11;2015-04-17;35661.4285714286;4860.14285714286;7139.85714285714;12896.4285714286;86.8314274385714;72.9328586028571;60.9114298142857;83.42000035;34918.8571428571;4506;7115.14285714286;10758.5714285714;85.0228565757143;67.6171433571429;60.7014274585714;69.5928568157143;3.10634190451998;8.50217912319505;5.47334881045953;6.4517094126345;7
543;2015;4;724;2015-04-18;2015-04-24;33700.4285714286;7576;6072.28571428571;12244.7142857143;82.0557152871429;113.685712542857;51.80142866;79.2071435114286;33165.7142857143;7103.14285714286;6051.28571428571;9232.57142857143;80.75428554;106.590000697143;51.6242855628571;59.7228578857143;0.829074486607886;34.0494232765271;0.714629454665863;2.280224842877;7
542;2015;4;725;2015-04-25;2015-05-01;33086.2857142857;6167.14285714286;5159;12410.2857142857;84.6014295285714;90.05285699;47.63142831;86.0457153328571;32635.2857142857;5997.14285714286;5135.14285714286;8680.57142857143;83.4571435114286;87.5799996514286;47.4071431857143;60.1485710128571;8.71254576721571;19.279761234961;7.9204650116212;11.3338748426916;7
541;2015;5;726;2015-05-02;2015-05-08;30488.2857142857;5331.85714285714;4705.28571428571;13958.7142857143;102.148570471429;61.1928569257143;66.2528566628571;134.199999127143;29970.2857142857;5137;4683.71428571429;8908.57142857143;100.41142927;58.9571429657143;65.9485718871428;85.6499993457143;1.09598245826393;5.39223196340953;2.43559958395898;3.16025339273188;7
540;2015;5;727;2015-05-09;2015-05-15;32999.4285714286;5056.85714285714;4745.71428571429;13353.8571428571;110.562857491429;58.0371426157143;66.8185713642857;128.385713851429;32537.4285714286;4998.57142857143;4719.71428571429;8452.28571428571;109.01285662;57.3685716885714;66.45142964;81.26285662;5.34567866568102;2.57858091120859;2.89731801409274;5.35046727425609;7
539;2015;5;728;2015-05-16;2015-05-22;30209.4285714286;4370.57142857143;3973.28571428571;10929.8571428571;101.214285714286;50.1614281771429;55.9428569257143;105.081428528571;29902.8571428571;4300;3957.28571428571;8221.14285714286;100.185714721429;49.3500006542857;55.7200006757143;79.0385720385714;6.7004948868118;3.92270735636332;2.19811942992202;10.5003076886119;7
538;2015;5;729;2015-05-23;2015-05-29;26438.4285714286;10728.7142857143;3882.71428571429;8817;88.5799996514286;123.13142722142901;54.6700003471428;84.7699999128571;26283.5714285714;10078;3863;7950.57142857143;88.05999974;115.662855421429;54.3885710571429;76.4385724771429;1.56344791060463;63.3662668136379;0.824811202767703;3.40665383507219;7
