DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (R$ ou u.m.c.)
1985-10-04;GM366_ERC366;1985-10-04T00:00:00-03:00;4;10;1985;2,87272727272727e-09
1985-10-05;GM366_ERC366;1985-10-05T00:00:00-03:00;5;10;1985;
1985-10-06;GM366_ERC366;1985-10-06T00:00:00-03:00;6;10;1985;
1985-10-07;GM366_ERC366;1985-10-07T00:00:00-03:00;7;10;1985;2,88181818181818e-09
1985-10-08;GM366_ERC366;1985-10-08T00:00:00-03:00;8;10;1985;2,89272727272727e-09
1985-10-09;GM366_ERC366;1985-10-09T00:00:00-03:00;9;10;1985;2,90181818181818e-09
1985-10-10;GM366_ERC366;1985-10-10T00:00:00-03:00;10;10;1985;2,91272727272727e-09
1985-10-11;GM366_ERC366;1985-10-11T00:00:00-03:00;11;10;1985;2,92363636363636e-09
1985-10-12;GM366_ERC366;1985-10-12T00:00:00-03:00;12;10;1985;
1985-10-13;GM366_ERC366;1985-10-13T00:00:00-03:00;13;10;1985;
1985-10-14;GM366_ERC366;1985-10-14T00:00:00-03:00;14;10;1985;2,93272727272727e-09
1985-10-15;GM366_ERC366;1985-10-15T00:00:00-03:00;15;10;1985;2,94363636363636e-09
1985-10-16;GM366_ERC366;1985-10-16T00:00:00-03:00;16;10;1985;2,95636363636364e-09
