"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2017","2.959","3.049","3.166","2.942","920.66K","-2.15%"
"09/10/2017","3.024","2.910","3.106","2.899","952.47K","4.64%"
"09/03/2017","2.890","3.013","3.059","2.885","659.72K","-5.86%"
"08/27/2017","3.070","2.924","3.088","2.849","572.78K","6.15%"
"08/20/2017","2.892","2.894","3.006","2.867","586.45K","-0.03%"
"08/13/2017","2.893","3.005","3.018","2.856","611.26K","-3.02%"
"08/06/2017","2.983","2.772","2.997","2.764","863.13K","7.53%"
"07/30/2017","2.774","2.900","2.900","2.753","664.98K","-5.68%"
"07/23/2017","2.941","2.914","2.998","2.880","318.61K","-0.98%"
"07/16/2017","2.970","2.982","3.114","2.938","685.57K","-0.34%"
"07/09/2017","2.980","2.898","3.053","2.870","872.50K","4.05%"
"07/02/2017","2.864","2.949","3.050","2.832","686.11K","-5.63%"
"06/25/2017","3.035","2.990","3.122","2.974","431.25K","3.62%"
"06/18/2017","2.929","2.966","2.971","2.855","660.93K","-3.56%"
"06/11/2017","3.037","3.032","3.087","2.916","868.38K","-0.07%"
"06/04/2017","3.039","3.026","3.095","2.935","812.17K","1.33%"
"05/28/2017","2.999","3.250","3.255","2.988","807.23K","-7.32%"
"05/21/2017","3.236","3.291","3.334","3.145","362.02K","-0.61%"
"05/14/2017","3.256","3.387","3.408","3.161","789.88K","-4.91%"
"05/07/2017","3.424","3.243","3.431","3.140","940.29K","4.84%"
"04/30/2017","3.266","3.249","3.313","3.165","650.53K","-0.31%"
"04/23/2017","3.276","3.094","3.298","3.022","400.70K","5.64%"
"04/16/2017","3.101","3.229","3.249","3.082","685.48K","-3.90%"
"04/09/2017","3.227","3.240","3.293","3.132","699.41K","-1.04%"
"04/02/2017","3.261","3.217","3.347","3.121","859.48K","2.23%"
"03/26/2017","3.190","3.119","3.242","3.011","368.86K","3.71%"
"03/19/2017","3.076","2.913","3.113","2.902","647.49K","4.34%"
"03/12/2017","2.948","3.083","3.089","2.882","694.59K","-1.99%"
"03/05/2017","3.008","2.911","3.043","2.815","924.68K","6.40%"
"02/26/2017","2.827","2.715","2.840","2.653","794.56K","7.61%"
"02/19/2017","2.627","2.791","2.826","2.522","342.57K","-7.30%"
"02/12/2017","2.834","2.978","2.994","2.830","697.01K","-6.59%"
"02/05/2017","3.034","3.015","3.189","3.005","811.18K","-0.95%"
"01/29/2017","3.063","3.300","3.342","3.042","798.82K","-9.67%"
"01/22/2017","3.391","3.180","3.494","3.145","334.62K","5.84%"
"01/15/2017","3.204","3.473","3.513","3.189","550.91K","-6.29%"
"01/08/2017","3.419","3.253","3.450","3.098","844.83K","4.08%"
"01/01/2017","3.285","3.568","3.568","3.172","774.17K","-11.79%"
"12/25/2016","3.724","3.736","3.994","3.664","306.42K","1.69%"
"12/18/2016","3.662","3.353","3.715","3.242","631.53K","7.23%"
"12/11/2016","3.415","3.583","3.601","3.343","860.33K","-8.84%"
"12/04/2016","3.746","3.471","3.777","3.450","1.11M","9.02%"
"11/27/2016","3.436","3.130","3.568","3.130","724.99K","11.38%"
"11/20/2016","3.085","2.898","3.121","2.891","327.01K","8.51%"
"11/13/2016","2.843","2.667","2.852","2.644","689.77K","8.55%"
"11/06/2016","2.619","2.848","2.875","2.546","910.89K","-5.35%"
"10/30/2016","2.767","3.150","3.163","2.725","868.53K","-10.89%"
"10/23/2016","3.105","3.007","3.125","2.627","516.00K","3.74%"
"10/16/2016","2.993","3.260","3.317","2.955","734.68K","-8.89%"
"10/09/2016","3.285","3.194","3.366","3.154","998.11K","2.88%"
"10/02/2016","3.193","2.905","3.218","2.866","928.92K","9.88%"
"09/25/2016","2.906","2.949","3.032","2.892","398.20K","-1.66%"
"09/18/2016","2.955","2.956","3.098","2.890","634.31K","0.24%"
"09/11/2016","2.948","2.820","2.978","2.820","781.87K","5.40%"
"09/04/2016","2.797","2.764","2.844","2.665","628.43K","0.18%"
"08/28/2016","2.792","2.847","2.943","2.770","530.28K","-2.75%"
"08/21/2016","2.871","2.596","2.907","2.596","501.62K","11.11%"
"08/14/2016","2.584","2.565","2.697","2.561","592.55K","-0.08%"
"08/07/2016","2.586","2.749","2.761","2.523","901.13K","-6.71%"
"07/31/2016","2.772","2.840","2.885","2.722","685.37K","-3.62%"
"07/24/2016","2.876","2.779","2.911","2.651","479.89K","3.56%"
"07/17/2016","2.777","2.775","2.799","2.625","537.10K","0.76%"
"07/10/2016","2.756","2.819","2.871","2.669","675.00K","-1.61%"
"07/03/2016","2.801","2.915","2.945","2.697","549.39K","-6.23%"
"06/26/2016","2.987","2.636","2.998","2.631","480.98K","12.21%"
"06/19/2016","2.662","2.652","2.786","2.614","613.59K","1.49%"
"06/12/2016","2.623","2.595","2.656","2.535","707.08K","2.62%"
"06/05/2016","2.556","2.439","2.630","2.399","929.03K","6.59%"
"05/29/2016","2.398","2.160","2.454","2.151","695.67K","10.56%"
"05/22/2016","2.169","2.093","2.191","1.909","379.96K","5.19%"
"05/15/2016","2.062","2.080","2.087","1.952","650.92K","-1.62%"
